date,usdjpy-rate
2002/01/06,130.97
2002/01/12,130.97
2002/01/13,131.10
2002/01/19,131.10
2002/01/20,132.03
2002/01/26,132.03
2002/01/27,132.01
2002/02/02,132.01
2002/02/03,133.73
2002/02/09,133.73
2002/02/10,133.39
2002/02/16,133.39
2002/02/17,133.48
2002/02/23,133.48
2002/02/24,132.91
2002/03/02,132.91
2002/03/03,133.48
2002/03/09,133.48
2002/03/10,133.93
2002/03/16,133.93
2002/03/17,130.95
2002/03/23,130.95
2002/03/24,128.99
2002/03/30,128.99
2002/03/31,131.55
2002/04/06,131.55
2002/04/07,132.89
2002/04/13,132.89
2002/04/14,132.82
2002/04/20,132.82
2002/04/21,131.41
2002/04/27,131.41
2002/04/28,130.97
2002/05/04,130.97
2002/05/05,129.70
2002/05/11,129.70
2002/05/12,127.88
2002/05/18,127.88
2002/05/19,128.08
2002/05/25,128.08
2002/05/26,127.86
2002/06/01,127.86
2002/06/02,125.21
2002/06/08,125.21
2002/06/09,124.57
2002/06/15,124.57
2002/06/16,124.27
2002/06/22,124.27
2002/06/23,125.09
2002/06/29,125.09
2002/06/30,124.06
2002/07/06,124.06
2002/07/07,120.97
2002/07/13,120.97
2002/07/14,120.06
2002/07/20,120.06
2002/07/21,118.15
2002/07/27,118.15
2002/07/28,116.20
2002/08/03,116.20
2002/08/04,116.87
2002/08/10,116.87
2002/08/11,119.57
2002/08/17,119.57
2002/08/18,120.13
2002/08/24,120.13
2002/08/25,118.20
2002/08/31,118.20
2002/09/01,118.81
2002/09/07,118.81
2002/09/08,118.75
2002/09/14,118.75
2002/09/15,118.11
2002/09/21,118.11
2002/09/22,119.37
2002/09/28,119.37
2002/09/29,122.28
2002/10/05,122.28
2002/10/06,122.86
2002/10/12,122.86
2002/10/13,122.46
2002/10/19,122.46
2002/10/20,123.88
2002/10/26,123.88
2002/10/27,124.66
2002/11/02,124.66
2002/11/03,124.50
2002/11/09,124.50
2002/11/10,123.27
2002/11/16,123.27
2002/11/17,121.68
2002/11/23,121.68
2002/11/24,120.01
2002/11/30,120.01
2002/12/01,121.88
2002/12/07,121.88
2002/12/08,122.19
2002/12/14,122.19
2002/12/15,124.63
2002/12/21,124.63
2002/12/22,123.33
2002/12/28,123.33
2002/12/29,120.93
2003/01/04,120.93
2003/01/05,120.35
2003/01/11,120.35
2003/01/12,119.90
2003/01/18,119.90
2003/01/19,119.47
2003/01/25,119.47
2003/01/26,118.29
2003/02/01,118.29
2003/02/02,118.37
2003/02/08,118.37
2003/02/09,118.42
2003/02/15,118.42
2003/02/16,119.95
2003/02/22,119.95
2003/02/23,120.64
2003/03/01,120.64
2003/03/02,119.21
2003/03/08,119.21
2003/03/09,117.56
2003/03/15,117.56
2003/03/16,117.57
2003/03/22,117.57
2003/03/23,117.47
2003/03/29,117.47
2003/03/30,118.81
2003/04/05,118.81
2003/04/06,120.15
2003/04/12,120.15
2003/04/13,118.99
2003/04/19,118.99
2003/04/20,120.08
2003/04/26,120.08
2003/04/27,119.98
2003/05/03,119.98
2003/05/04,120.17
2003/05/10,120.17
2003/05/11,119.28
2003/05/17,119.28
2003/05/18,117.50
2003/05/24,117.50
2003/05/25,116.61
2003/05/31,116.61
2003/06/01,116.79
2003/06/07,116.79
2003/06/08,117.62
2003/06/14,117.62
2003/06/15,118.48
2003/06/21,118.48
2003/06/22,117.97
2003/06/28,117.97
2003/06/29,118.06
2003/07/05,118.06
2003/07/06,118.23
2003/07/12,118.23
2003/07/13,119.07
2003/07/19,119.07
2003/07/20,118.07
2003/07/26,118.07
2003/07/27,118.16
2003/08/02,118.16
2003/08/03,119.05
2003/08/09,119.05
2003/08/10,119.76
2003/08/16,119.76
2003/08/17,119.88
2003/08/23,119.88
2003/08/24,119.00
2003/08/30,119.00
2003/08/31,118.66
2003/09/06,118.66
2003/09/07,117.45
2003/09/13,117.45
2003/09/14,116.65
2003/09/20,116.65
2003/09/21,117.00
2003/09/27,117.00
2003/09/28,116.21
2003/10/04,116.21
2003/10/05,112.06
2003/10/11,112.06
